timestamp,company_code,company_name,ticker,target_financial_year,nse_company,match_score,nse_from_year,nse_to_year,attachment_url,output_file,status,message
2026-08-26T02:08:52,TCS,Tata Consultancy Services,TCS.NS,2024-25,,40,,,,,missing,No FY 2024-25 company match found.
2026-08-26T02:38:37,TCS,Tata Consultancy Services,2024-25,NSE,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_27052025233643_BRSRSEint27052025_signed.pdf,TCS_BR_24-25.pdf,success,TCS FY2024-25 BRSR PDF downloaded and validated.
2026-08-26T02:52:48,TCS,Tata Consultancy Services,2024-25,NSE,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_27052025233643_BRSRSEint27052025_signed.pdf,TCS_BR_24-25.pdf,SKIPPED_EXISTING_VALID,success,Canonical FY2024-25 PDF already exists and passed validation. No duplicate download created.
2026-08-26T03:00:08,TCS,Tata Consultancy Services,2024-25,NSE,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_27052025233643_BRSRSEint27052025_signed.pdf,TCS_BR_24-25.pdf,SKIPPED_EXISTING_VALID,success,Valid canonical PDF already exists.
2026-08-26T03:01:38,INFY,Infosys,2024-25,NSE,https://nsearchives.nseindia.com/corporate/Infosys_02062025154237_infosys-ar-2025.pdf,INFY_BR_24-25.pdf,REPLACEMENT_FAILED,failed,company identity could not be confirmed
2026-08-26T03:01:43,HCLTECH,HCL Technologies,2024-25,NSE,https://nsearchives.nseindia.com/corporate/HCLTECH_02082025204043_BRSR_2024-25.pdf,HCLTECH_BR_24-25.pdf,SKIPPED_EXISTING_VALID,success,Valid canonical PDF already exists.
2026-08-26T03:01:53,TECHM,Tech Mahindra,2024-25,NSE,https://nsearchives.nseindia.com/corporate/Apekshakhemka_23062025233414_StockExchangeIntimationBRSR_S.pdf,TECHM_BR_24-25.pdf,SKIPPED_EXISTING_VALID,success,Valid canonical PDF already exists.
2026-08-26T03:01:53,LTIM,LTIMindtree,2024-25,NSE,https://www.ltimindtree.com/wp-content/uploads/2025/05/LTIMindtree-BRSR-FY2024-25.pdf,LTIM_BR_24-25.pdf,NOT_DOWNLOADED,pending,Official NSE FY2024-25 source has not yet been verified.
2026-08-26T03:02:01,PERSISTENT,Persistent Systems,2024-25,NSE,https://nsearchives.nseindia.com/corporate/PERSISTENTUSER1_23062025235235_PSLBusinessResponsibilityandSustainabilityReport2025signed.pdf,PERSISTENT_BR_24-25.pdf,DOWNLOADED_NEW,success,New FY2024-25 BRSR downloaded and validated.
2026-08-26T03:02:13,COFORGE,Coforge,2024-25,NSE,https://nsearchives.nseindia.com/corporate/COFORGE_28082025220019_BRSR_Intimation.pdf,COFORGE_BR_24-25.pdf,DOWNLOAD_FAILED,failed,company identity could not be confirmed
2026-08-26T03:03:32,LTTS,L&T Technology Services,2024-25,NSE,https://nsearchives.nseindia.com/corporate/LTTS_23052025212838_IntimationAnnualReport2025_DSC.pdf,LTTS_BR_24-25.pdf,DOWNLOADED_NEW,success,New FY2024-25 BRSR downloaded and validated.
2026-08-26T03:03:41,TATAELXSI,Tata Elxsi,2024-25,NSE,https://nsearchives.nseindia.com/corporate/TELNSE_29052025183519_TELBRSRFY25.pdf,TATAELXSI_BR_24-25.pdf,DOWNLOADED_NEW,success,New FY2024-25 BRSR downloaded and validated.
2026-08-26T03:03:47,OFSS,Oracle Financial Services Software,2024-25,NSE,https://nsearchives.nseindia.com/corporate/OFSS_27062025192524_OFSSLettertoSEBRSR2025.pdf,OFSS_BR_24-25.pdf,DOWNLOADED_NEW,success,New FY2024-25 BRSR downloaded and validated.
2026-08-26T03:04:05,KPITTECH,KPIT Technologies,2024-25,NSE,https://nsearchives.nseindia.com/corporate/KPITTECH_10072025175501_KPITBRSR2425_Signed.pdf,KPITTECH_BR_24-25.pdf,DOWNLOADED_NEW,success,New FY2024-25 BRSR downloaded and validated.
2026-08-26T03:05:18,CYIENT,Cyient,2024-25,NSE,https://nsearchives.nseindia.com/corporate/CYIENT_24062025190008_24062025Annualreportsigned.pdf,CYIENT_BR_24-25.pdf,DOWNLOAD_FAILED,failed,company identity could not be confirmed
2026-08-26T03:05:24,BSOFT,Birlasoft,2024-25,NSE,https://nsearchives.nseindia.com/corporate/BSOFT_11072025145110_SEIntimationBRSR.pdf,BSOFT_BR_24-25.pdf,DOWNLOAD_FAILED,failed,company identity could not be confirmed
2026-08-26T03:05:28,ZENSARTECH,Zensar Technologies,2024-25,NSE,https://nsearchives.nseindia.com/corporate/ZENSARTECH_01072025182313_SEIntimationBRSRF.pdf,ZENSARTECH_BR_24-25.pdf,DOWNLOAD_FAILED,failed,404 Client Error: Not Found for url: https://nsearchives.nseindia.com/corporate/ZENSARTECH_01072025182313_SEIntimationBRSRF.pdf
2026-08-26T03:05:34,TATATECH,Tata Technologies,2024-25,NSE,https://nsearchives.nseindia.com/corporate/TTLNSE_28052025200521_BRSR.pdf,TATATECH_BR_24-25.pdf,DOWNLOADED_NEW,success,New FY2024-25 BRSR downloaded and validated.
2026-08-26T03:36:04,TCS,Tata Consultancy Services,2024-25,NSE,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_27052025233643_BRSRSEint27052025_signed.pdf,TCS_BR_24-25.pdf,SKIPPED_EXISTING_VALID,success,company + BRSR + FY2024-25 validated
2026-08-26T03:36:19,INFY,Infosys,2024-25,NSE,https://nsearchives.nseindia.com/corporate/Infosys_02062025172921_infosys-ar-2025.pdf,INFY_BR_24-25.pdf,SKIPPED_EXISTING_VALID,success,company + BRSR + FY2024-25 validated
2026-08-26T03:36:19,WIPRO,Wipro,2024-25,NSE,,WIPRO_BR_24-25.pdf,NOT_DOWNLOADED,pending,Official NSE source not yet verified.
2026-08-26T03:36:21,HCLTECH,HCL Technologies,2024-25,NSE,https://nsearchives.nseindia.com/corporate/HCLTECH_02082025204043_BRSR_2024-25.pdf,HCLTECH_BR_24-25.pdf,SKIPPED_EXISTING_VALID,success,company + BRSR + FY2024-25 validated
2026-08-26T03:36:23,TECHM,Tech Mahindra,2024-25,NSE,https://nsearchives.nseindia.com/corporate/Apekshakhemka_23062025233414_StockExchangeIntimationBRSR_S.pdf,TECHM_BR_24-25.pdf,SKIPPED_EXISTING_VALID,success,company + BRSR + FY2024-25 validated
2026-08-26T03:36:23,LTIM,LTIMindtree,2024-25,NSE,,LTIM_BR_24-25.pdf,NOT_DOWNLOADED,pending,Official NSE source not yet verified.
2026-08-26T03:36:23,MPHASIS,Mphasis,2024-25,NSE,,MPHASIS_BR_24-25.pdf,NOT_DOWNLOADED,pending,Official NSE source not yet verified.
2026-08-26T03:36:24,PERSISTENT,Persistent Systems,2024-25,NSE,https://nsearchives.nseindia.com/corporate/PERSISTENTUSER1_23062025235235_PSLBusinessResponsibilityandSustainabilityReport2025signed.pdf,PERSISTENT_BR_24-25.pdf,SKIPPED_EXISTING_VALID,success,company + BRSR + FY2024-25 validated
